symbol,quantity,equity,price,average_buy_price,type,currency
NVDA,8.499503,991.12704483,116.61,114.2,Common Stock,USD
AMZN,5.070358,978.98472264,193.08,174.5,Common Stock,USD
TSLA,3.011266,897.6635137522,298.1017,277.54,Common Stock,USD
MSFT,1.896901,832.45500385,438.85,417.03,Common Stock,USD
AMD,7.626071,784.18888093,102.83,129.83,Common Stock,USD
MDB,2.59207,463.0473848,178.64,222.53,Common Stock,USD
TSM,2.528174,446.29855621999997,176.53,166.05,American Depositary Receipt,USD
GOOGL,2.85055,435.450018,152.76,166.45,Common Stock,USD
HOOD,7.49806,409.768979,54.65,17.02,Common Stock,USD
SNOW,2.078838,361.98806094,174.13,116.16,Common Stock,USD
QQQ,0.665303,324.70778218,488.06,455.43,ETF,USD
FLUT,1.272248,298.2785436,234.45,211.22,Common Stock,USD
HIMS,5.008283,260.3315519966,51.9802,15.14,Common Stock,USD
VSH,18.458593,242.71203935699998,13.149,17.39,Common Stock,USD
DKNG,6.63399,240.28311779999999,36.22,35.09,Common Stock,USD
VOO,0.436547,226.37581232,518.56,486.52,ETF,USD
GOOG,1.440288,222.3084528,154.35,164.68,Common Stock,USD
MRVL,3.13326,186.8362938,59.63,57.96,Common Stock,USD
XYZ,3.517662,177.11428170000002,50.35,72.11,Common Stock,USD
SOFI,13.089036,172.51349448,13.18,13.23,Common Stock,USD
ALAB,2.41336,171.831232,71.2,89.08,Common Stock,USD
MSTR,0.413022,171.82954266,416.03,354.56,Common Stock,USD
AFRM,3.21633,149.3342019,46.43,52.71,Common Stock,USD
MBLY,9.01405,146.929015,16.3,16.79,Common Stock,USD
PLTR,1.2,140.73876,117.2823,30.86,Common Stock,USD
GRAB,24.37831,119.453719,4.9,4.6,Common Stock,USD
GDXD,30.678153,118.11088905,3.85,9.06,Structured Product,USD
COIN,0.577289,115.09410793,199.37,161.1,Common Stock,USD
META,0.190095,112.650297,592.6,598.33,Common Stock,USD
PENN,7.00872,109.58133720000001,15.635,18.38,Common Stock,USD
BTC,0.00106982,109.5478786258416,102398.42088,0.0,Cryptocurrency,USD
RDDT,0.966008,104.6669668,108.35,117.8,Common Stock,USD
CRWD,0.225811,92.70896416000001,410.56,256.54,Common Stock,USD
ACHR,10.418767,91.73724343500001,8.805,8.59,Common Stock,USD
RIOT,10.325833,87.56306384,8.48,7.17,Common Stock,USD
TEM,1.39429,85.5815202,61.38,49.23,Common Stock,USD
ALGS,18.387364,82.19151708,4.47,21.53,Common Stock,USD
AI,3.449126,80.60607462,23.37,29.23,Common Stock,USD
GTLB,1.60768,78.9853184,49.13,42.63,Common Stock,USD
SMCI,2.45341,78.4600518,31.98,28.01,Common Stock,USD
ETH,0.03049165,70.80294195560599,2322.04364,163.7099497,Cryptocurrency,USD
IRBT,27.00487,69.13246720000001,2.56,4.91,Common Stock,USD
SEDG,3.359106,66.64466304,19.84,11.87,Common Stock,USD
SMST,53.01356,65.211980156,1.2301,2.92,ETF,USD
PYPL,0.92072,64.69899439999999,70.27,69.58,Common Stock,USD
MRNA,2.64611,64.19462860000002,24.26,37.55,Common Stock,USD
PLUG,65.602532,56.280412202799994,0.8579,1.67,Common Stock,USD
DOGE,265.93,54.1336601701,0.20356357,0.22754108,Cryptocurrency,USD
NU,4.09175,52.45623500000001,12.82,10.48,Common Stock,USD
CRWV,1.0,51.37,51.37,40.0,Common Stock,USD
TRUMP,3.4243,48.60820758149401,14.19507858,24.66781532,Cryptocurrency,USD
ASML,0.067397,47.59643537,706.21,682.23,American Depositary Receipt,USD
BIIB,0.389866,46.05876924,118.14,161.72,Common Stock,USD
VG,3.61088,33.7436736,9.345,8.77,Common Stock,USD
IONQ,1.009125,31.546256625,31.261,30.04,Common Stock,USD
XBI,0.394126,30.09349073,76.355,98.8,ETF,USD
EVAX,20.0,29.8,1.49,3.42,American Depositary Receipt,USD
RIVN,1.94603,27.74065765,14.255,12.85,Common Stock,USD
CHNR,46.0,25.8244,0.5614,0.69,Common Stock,USD
PEPE,2112202.0,25.684376320000002,1.216e-05,1.972e-05,Cryptocurrency,USD
SGD,26.340996,25.5665707176,0.9706,1.87,Common Stock,USD
RVPH,31.2308,25.49682512,0.8164,1.82,Common Stock,USD
SFTBY,1.0,25.4,25.4,30.5,American Depositary Receipt,USD
LCID,9.35822,23.489132199999997,2.51,2.55,Common Stock,USD
OSK,0.251281,23.12539043,92.03,97.06,Common Stock,USD
ENPH,0.41809,21.2306102,50.78,48.48,Common Stock,USD
GRNY,1.0,19.8,19.8,17.52,ETF,USD
TWNP,2.761551,17.81200395,6.45,10.77,Common Stock,USD
BULL,1.07828,17.694574799999998,16.41,19.52,Common Stock,USD
ICON,8.5,16.064999999999998,1.89,4.76,Common Stock,USD
RR,8.0,15.72,1.965,1.78,Common Stock,USD
FLX,5.270236,12.016138079999998,2.28,7.44,American Depositary Receipt,USD
TBT,0.306984,11.152728719999999,36.33,36.09,ETF,USD
ARKQ,0.15209,11.0934446,72.94,65.75,ETF,USD
UBER,0.12009,9.9398493,82.77,83.27,Common Stock,USD
QNTM,1.0,9.01,9.01,8.17,Common Stock,USD
OMER,1.347203,8.33918657,6.19,9.65,Common Stock,USD
UNI,1.3115,8.235559017115001,6.27949601,8.70296283,Cryptocurrency,USD
BIVI,4.960835,5.556135200000001,1.12,1.62,Common Stock,USD
XLF,0.10711,5.34104015,49.865,46.68,ETF,USD
ARM,0.04243,4.9099996,115.72,117.84,American Depositary Receipt,USD
RKLB,0.22655,4.6454077499999995,20.505,23.13,Common Stock,USD
NXL,3.0,3.9000000000000004,1.3,2.1,Common Stock,USD
OPEN,2.0,1.3424,0.6712,0.96,Common Stock,USD
SOL,2.81e-06,0.00048254286640000006,171.72344,164.56690406,Cryptocurrency,USD
